_id,ltable_Length_ft,ltable_make_model,ltable_seller,ltable_location,ltable_year,ltable_price_US,ltable_hull_material,rtable_Length_ft,rtable_make_model,rtable_seller,rtable_location,rtable_year,rtable_price_US,rtable_hull_material
45674,28,Chris-Craft.Launch 28,Great Lakes Yacht Sales / Suncoast Yacht Sales / Chris Craft TB,"Kenosha, Wisconsin",2015,178000,Fiberglass,28,Chris-Craft Launch 28,"Great Lakes Yacht Sales / Suncoast Yacht Sales / Chris Craft TB
   ","Kenosha, WI",2015,178000,Fiberglass
45840,28,Chris-Craft.Launch 28,Barrier Island Marine,"Beaufort, South Carolina",2015,174900,Fiberglass,28,Chris-Craft Launch 28,"Barrier Island Marine
   ","Beaufort, SC",2015,174900,Fiberglass
46161,28,Sleekcraft.Enforcer 28,Platinum Marine,"SAN ANTONIO, Texas",2001,33000,Fiberglass,28,Sleekcraft Enforcer 28,"Platinum Marine
   ","SAN ANTONIO, TX",2001,33000,Fiberglass
48027,35,Formula Boats.350 Crossover Bowrider,Glencove Marina,"Lake Ozark, Missouri",2015,299900,Fiberglass,35,Formula Boats 350 Crossover Bowrider,"Glencove Marina
   ","Lake Ozark, MO",2015,299900,Fiberglass
48326,35,Formula.350 Crossover Bowrider,Gulf Coast Boat Sales,"Naples, Florida",2017,407730,Fiberglass,35,Formula 350 Crossover Bowrider,"Gulf Coast Boat Sales & Yacht Management
   ","Naples, FL",2017,407730,Fiberglass
48517,35,Formula.350 Crossover Bowrider,Dry Harbour Marine,United States,2017,319000,Fiberglass,35,Formula 350 Crossover Bowrider,"Sales at Dry Harbour Marine
   ",United States,2017,319000,Fiberglass
48703,35,Formula.350 Crossover Bowrider,Chicago Yacht Works,United States,2017,407726,Fiberglass,35,Formula 350 Crossover Bowrider,"Chicago Yacht Works
   ",United States,2017,407726,Fiberglass
48779,35,Formula.350 Crossover Bowrider,Lakeside Formula,"St. Clair Shores, Michigan",2017,Request Price,Fiberglass,35,Formula 350 Crossover Bowrider,"Lakeside Formula
   ","St. Clair Shores, MI",2017,1,Fiberglass
48963,35,Formula.350 Crossover Bowrider,Gulf Coast Boat Sales,"Fort Myers, Florida",2015,299900,Fiberglass,35,Formula 350 Crossover Bowrider,"Gulf Coast Boat Sales & Yacht Management
   ","Fort Myers, FL",2015,299900,Fiberglass
49030,35,Formula.350 Crossover Bowrider,"Shipyard Marine, Inc","Green Bay, Wisconsin",2014,249850,Fiberglass,35,Formula 350 Crossover Bowrider,"Shipyard Marine, Inc
   ","Green Bay, WI",2014,249850,Fiberglass
49090,35,Formula.350 Crossover Bowrider,Gulf Coast Boat Sales,"Naples, Florida",2016,Request Price,Fiberglass,35,Formula 350 Crossover Bowrider,"Gulf Coast Boat Sales & Yacht Management
   ","Naples, FL",2016,,Fiberglass
49149,35,Formula.350 Crossover Bowrider,The Nautic Group,"Kemah, Texas",2016,Request Price,Fiberglass,35,Formula 350 Crossover Bowrider,"The Nautic Group
   ","Kemah, TX",2016,Call for Price,Fiberglass
