index,used,power,price_US,year,class,hull_material,seller,Length_ft,location,make_model,
3941,yes,yes,Request Price,2016,Bowrider,Fiberglass,California Marine Sports,23,"Suisun City, California",Moomba.Mojo,
3942,yes,yes,Request Price,2016,Bowrider,Fiberglass,California Marine Sports,23,"Fairfield, California",Moomba.Mojo,
3943,yes,yes,47000,2013,Bowrider,Fiberglass,Jacksonville Boat Sales,23,"Jacksonville Beach, Florida",Monterey.M3,
3944,yes,yes,79980,2017,Bowrider,Fiberglass,Sea Ray of Louisville,23,"Louisville, Kentucky",Moomba.Mojo,
3945,yes,yes,63900,2015,Bowrider,Fiberglass,Tern Harbor Marina,23,Massachusetts,Monterey.M3,
3946,yes,yes,49000,2014,Bowrider,Fiberglass,Yankee Boating Center,23,"Lake George, New York",Monterey.238SS,
3947,yes,yes,60500,2013,Bowrider,Fiberglass,POP Yachts,23,"Prattville, Alabama",Moomba.Mojo 2.5 SK,
3948,yes,yes,Request Price,2015,Bowrider,Fiberglass,C - Jam Yacht Sales -- Stevensville,23,"Stevensville, Maryland",Monterey.238SS Super Sport,
3949,yes,yes,Request Price,2016,Bowrider,Aluminum,Gainesville Marina & Boat Sales,23,"Gainesville, Georgia",Monterey.238SS,
3950,yes,yes,Request Price,2015,Bowrider,Fiberglass,"Ugly John's Custom Boats, LLC.",23,"Catoosa, Oklahoma",Monterey.M3,
3951,yes,yes,73000,2016,Bowrider,Fiberglass,"Mt. Dora Company, Inc.",23,"Mount Dora, Florida",Monterey.238SS,
3952,yes,yes,58995,2015,Bowrider,Fiberglass,Lake Geneva Marine Company,23,"Fontana, Wisconsin",Monterey.238SS,
3953,yes,yes,Request Price,2016,Bowrider,Fiberglass,TriToon Town,23,"Osage Beach, Missouri",Monterey.238SS,
3954,yes,yes,Request Price,2016,Bowrider,Fiberglass,TriToon Town,23,"Osage Beach, Missouri",Monterey.238SS,
3955,yes,yes,34999,2015,Bowrider,Fiberglass,COMPLETE MARINE,23,"Pompano Beach, Florida",Nautic Star.231 Angler,
3956,yes,yes,69995,2011,Bowrider,Fiberglass,Singleton Marine Used Boat Super Center,23,"Buford, Georgia",Nautique.230 Super Air Nautique,
3957,yes,yes,Request Price,2015,Bowrider,Fiberglass,Grande Yachts International - Grasonville,23,"Annapolis, Maryland",Pursuit.235 Dual Console,
