index,used,power,price_US$,year,class,hull_material,seller,Length_ft,location,Make_Model
3437,yes,yes,36683,2015,Bowrider,Fiberglass,"Gibbs Boat Sales Ltd
   ",20,"Poole, Dorset, United Kingdom",Regal 1900 ES
3438,yes,yes,32000,2009,Bowrider,Fiberglass,"Red Dolphins Marine S.A.
   ",20,"Puntarenas, Costa Rica",Sea Ray 185 Sport
3439,yes,yes,18995,2008,Bowrider,Fiberglass,"Castaways Yacht Club
   ",20,"Long Island, NY",Sea Ray 185 Sport
3440,yes,yes,21553,2009,Bowrider,Fiberglass,"Marina Marbella Group
   ",20,"Marbella , Spain",Sea Ray 185 Sport
3441,yes,yes,24900,2012,Bowrider,Fiberglass,"Krenzer Marine
   ",20,"Sodus Point, NY",Sea Ray 185 Sport
3442,yes,yes,36000,2010,Bowrider,Fiberglass,"Red Dolphins Marine S.A.
   ",20,"Puntarenas, Costa Rica",Sea Ray 185 Sport
3443,yes,yes,29995,2008,Bowrider,Fiberglass,"Boulder Boats
   ",20,"Henderson, NV",Four Winns H200
3444,yes,yes,30497,2014,Bowrider,Fiberglass,"Power Boats Poland
   ",20,"Nieporet, Poland",Sea Ray 190 Sport
3445,yes,yes,14900,2006,Bowrider,Fiberglass,"Waterfront Marine Yacht Sales-New Jersey
   ",20,"Somers Point, NJ",Chaparral 190 SSi
3446,yes,yes,16529,2006,Bowrider,Fiberglass,"Tingdene Boat Sales Ltd
   ",20,"Portishead, United Kingdom",Regal 2000 Bowrider
3447,yes,yes,27900,2012,Bowrider,Fiberglass,"Waterfront Marine Yacht Sales-New Jersey
   ",20,"Somers Point, NJ",Sea Ray 190 Sport
3448,yes,yes,27950,2014,Bowrider,Fiberglass,"Hall Marine Group
   ",20,United States,Sea Ray 190 Sport
3449,yes,yes,36126,2014,Bowrider,Fiberglass,"Marina Marbella Group
   ",20,United Kingdom,Sea Ray 190 Sport
3450,yes,yes,31900,2014,Bowrider,Fiberglass,"Hall Marine Group
   ",20,United States,Sea Ray 190 Sport
3451,yes,yes,26500,2014,Bowrider,Fiberglass,"Hall Marine Group
   ",20,United States,Sea Ray 190 Sport
3452,yes,yes,17500,2008,Bowrider,Fiberglass,"Sea D.A. Yachts
   ",20,"Virginia Beach, VA",Sea Ray 185 Sport
3453,yes,yes,27500,2014,Bowrider,Fiberglass,"Hall Marine Group
   ",20,United States,Sea Ray 190 Sport
3454,yes,yes,36535,2013,Bowrider,Fiberglass,"Marina Marbella Group
   ",20,United Kingdom,Sea Ray 190 Sport
3455,yes,yes,14500,2006,Bowrider,Fiberglass,"Sea D.A. Yachts
   ",20,"Virginia Beach, VA",Sea Ray 185 Sport
3456,yes,yes,15000,2006,Bowrider,Fiberglass,"Prince William Marina
   ",20,"Woodbridge, VA",Sea Ray 185 Sport
3457,yes,yes,21801,2015,Bowrider,Fiberglass,"Bates Wharf
   ",20,"Poole, United Kingdom",Bayliner 175 Bowrider
3458,yes,yes,8200,2005,Bowrider,Fiberglass,"Power Yachts International
   ",20,"Cape Coral, FL",2005 Stingray 185 LX
3459,yes,yes,24490,2016,Bowrider,Fiberglass,"Val Wyatt Marine Ltd
   ",20,"Wargrave, Berkshire, United Kingdom",Corsiva Coaster 600 Deluxe Cabin
3460,yes,yes,19587,2016,Bowrider,Fiberglass,"Val Wyatt Marine Ltd
   ",20,Poland,Corsiva Coaster 600 Bowrider
3461,yes,yes,25900,2013,Bowrider,Fiberglass,"Erwin Marine
   ",20,"Grant, AL",Sea Ray 190 Sport
3462,yes,yes,41500,2012,Bowrider,Fiberglass,"Ugly John's Custom Boats, LLC.
   ",20,"Catoosa, OK",Monterey 204FS
3463,yes,yes,75950,2015,Bowrider,Fiberglass,"Asia Yachting
   ",20,"Hong Kong , Hong Kong",Monterey 204FS
3464,yes,yes,1,2017,Bowrider,Fiberglass,"North Florida Yacht Sales
   ",20,"Jacksonville, FL",Monterey 197 Blackfin
3465,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"B & E Marine, Inc.
   ",20,"Michigan City, IN",Sea Ray 19 SPX
3466,yes,yes,27633,2008,Bowrider,Fiberglass,"Atlantitudes (Azimut Yachts Portugal)
   ",20,Portugal,Ebbtide 214 SE
3467,yes,yes,21801,2015,Bowrider,Fiberglass,"Bates Wharf
   ",20,"Swanwick, United Kingdom",Bayliner 175 Bowrider
3468,yes,yes,56036,2016,Bowrider,Fiberglass,"Pinnacle Marine
   ",20,"Auckland, New Zealand",Monterey 196MFS
3469,yes,yes,1,2017,Bowrider,Fiberglass,"North Florida Yacht Sales
   ",20,"Jacksonville, FL",Monterey 196 Montura
3470,yes,yes,36251,2016,Bowrider,Fiberglass,"Ugly John's Custom Boats, LLC.
   ",20,"Catoosa, OK",Monterey 196MS
3471,yes,yes,15900,2002,Bowrider,Fiberglass,"Grand Bay Marine
   ",20,"Traverse City, MI",Four Winns 200 Horizon
3472,yes,yes,9900,2001,Bowrider,Fiberglass,"Waterfront Marine Yacht Sales-New Jersey
   ",20,"Somers Point, NJ",Chaparral 196 SSi
3473,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Ugly John's Custom Boats, LLC.
   ",20,"Catoosa, OK",Monterey 196MFS
3474,yes,yes,30614,2010,Bowrider,Fiberglass,"Idealboat Sales
   ",20,United Kingdom,Chaparral 186 SSi
3475,yes,yes,34199,2016,Bowrider,Fiberglass,"Lighthouse Harbor Marina
   ",20,"LAKE WALLENPAUPACK, PA",Monterey 196MS
3476,yes,yes,19900,2011,Bowrider,Fiberglass,"Hyannis Marina
   ",20,"Hyannis, United States",Chaparral 196 SSi
3477,yes,yes,41536,2016,Bowrider,Fiberglass,"Lake Union Sea Ray
   ",20,"Fife, WA",Sea Ray 19 SPX
3478,yes,yes,41000,2014,Bowrider,Fiberglass,"Bridge Marine Sales
   ",20,United States,Bryant 198
3479,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Saba Marine
   ",20,"Colchester, VT",Sea Ray 19 SPX
3480,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"B & E Marine, Inc.
   ",20,United States,Sea Ray 19 SPX
3481,yes,yes,41536,2016,Bowrider,Fiberglass,"Lake Union Sea Ray
   ",20,"Bellingham, WA",Sea Ray 19 SPX
3482,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Captain's Choice of Pickwick
   ",20,"Pickwick Lake TN, MS",Sea Ray 19 SPX
3483,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Captain's Choice of Pickwick
   ",20,"Pickwick Lake TN, MS",Sea Ray 19 SPX
3484,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Ugly John's Custom Boats, LLC.
   ",20,"Catoosa, OK",Monterey 196MS
3485,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Ugly John's Custom Boats, LLC.
   ",20,"Catoosa, OK",Monterey 196MS
3486,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Nunmaker Yachts
   ",20,"Madisonville, LA",Sea Ray 19 SPX
3487,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"B & E Marine, Inc.
   ",20,"Michigan City, IN",Sea Ray 19 SPX
3488,yes,yes,25422,2010,Bowrider,Fiberglass,"Swans Marine
   ",19,"Denia, Spain",Campion Chase 600i Bowrider
3489,yes,yes,16500,2004,Bowrider,Fiberglass,"Network Yacht Brokers
   ",19,"PWLLHELI, Gwynedd, United Kingdom",Cobalt 200
