index,used,power,price_US$,year,class,hull_material,seller,Length_ft,location,Make_Model
1702,yes,yes,24500,2004,Bowrider,Fiberglass,"Marine Concepts Yacht Sales
   ",24,"VIRGINIA BEACH, VA",Maxum 2400 SD
1703,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Pier 53 Marine
   ",24,"Port Clinton, OH",Monterey M4
1704,yes,yes,58995,2012,Bowrider,Fiberglass,"Boulder Boats
   ",24,"Henderson, NV",Monterey M3
1705,yes,yes,27900,2006,Bowrider,Fiberglass,"Nautical Ventures
   ",24,"Dania Beach, FL",Monterey 263 EX Explorer
1706,yes,yes,31900,2006,Bowrider,Fiberglass,"Longshore Boats
   ",24,"Charleston, SC",Monterey 248 LS
1707,yes,yes,69000,2009,Bowrider,Fiberglass,"Premiumboats.com
   ",24,"Ready for worldwide delivery, Norway",Nor-Tech 24V Center Console
1708,yes,yes,26527,2004,Bowrider,Fiberglass,"Marina Marbella Group
   ",24,"Marbella, Spain",Monterey 253 Explorer Sport
1709,yes,yes,28900,2006,Bowrider,Fiberglass,"Holmes & Owen Yacht Sales
   ",24,"Jacksonville, FL",Monterey 248LS Montura
1710,yes,yes,19900,2004,Bowrider,Fiberglass,"United Yacht Sales
   ",24,"Stone Harbor, NJ",Monterey 248 LS Bowrider
1711,yes,yes,30000,2006,Bowrider,Fiberglass,"Key Harbor Yacht Sales
   ",24,"Waretown, NJ",Monterey 248LS Montura Bowrider
1712,yes,yes,35900,2010,Bowrider,Fiberglass,"Boat Max USA
   ",24,"Oviedo, FL",Regal 2300 LSR
1713,yes,yes,Call for Price,2015,Bowrider,Fiberglass,"AM PM MARINE
   ",24,"Pasadena, MD",Regal 2300 Bowrider
1714,yes,yes,62900,2015,Bowrider,Fiberglass,"Grand Bay Marine
   ",24,"Traverse City, MI",Regal 2300
1715,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Bosun Marine
   ",24,"Inbound, MA",Pursuit 235 DC
1716,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"AM PM MARINE
   ",24,"Pasadena, MD",Regal 2300 RX Bowrider
1717,yes,yes,115163,2016,Bowrider,Fiberglass,"CenterPointe Yacht Sales
   ",24,United States,Regal 2300 RX Bowrider
1718,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"AM PM MARINE
   ",24,"Pasadena, MD",Regal 2300 Bowrider
1719,yes,yes,98262,2017,Bowrider,Fiberglass,"CenterPointe Yacht Sales
   ",24,United States,Regal 2300 Bowrider
1720,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Grand Bay Marine
   ",24,"Traverse City, MI",Regal 2300 RX Surf
1721,yes,yes,Call for Price,2015,Bowrider,Fiberglass,"Grand Bay Marine
   ",24,"Traverse City, MI",Regal 2300 Bowrider
1722,yes,yes,23900,2008,Bowrider,Fiberglass,"Johnston & Mayer Oasis Yachts, LLC
   ",24,"New Orleans, LA",Regal 2400 Bowrider
1723,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Grand Bay Marine
   ",24,"Traverse City, MI",Regal 2300 Bowrider
1724,yes,yes,52914,2013,Bowrider,Fiberglass,"Pride Marine Group
   ",24,"Keswick, ON",Regal 24 FasDeck RX
1725,yes,yes,48900,2012,Bowrider,Fiberglass,"Racine Riverside Marine, Inc.
   ",24,"Racine, WI",Regal 24 FasDeck RX
1726,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"South Shore Marine
   ",24,"Huron, OH",Regal 24 FasDeck RX
1727,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Sundance Marine USA
   ",24,"Jensen Beach , FL",Regal 24 FasDeck
1728,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Sundance Marine USA
   ",24,"Pompano Beach, FL",Regal 24 FasDeck
1729,yes,yes,54900,2015,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Jacksonville, FL",Regal 24 FasDeck
1730,yes,yes,49900,2016,Bowrider,Fiberglass,"Hideaway Yacht Sales
   ",24,"Harrison Township, MI",Rinker 246 Captiva Bowrider
1731,yes,yes,49900,2015,Bowrider,Fiberglass,"Hideaway Yacht Sales
   ",24,United States,Rinker 246 Captiva Bowrider
1732,yes,yes,32000,2007,Bowrider,Fiberglass,"Denison Yacht Sales
   ",24,"Fort Myers Beach, FL",Rinker 246 Captiva
1733,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Sundance Marine USA
   ",24,"Pompano Beach, FL",Regal 24 FasDeck
1734,yes,yes,14900,2005,Bowrider,Fiberglass,"Power Yachts International
   ",24,"Cape Coral, FL",Regal 2400 LSR
1735,yes,yes,54900,2012,Bowrider,Fiberglass,"Grand Bay Marine
   ",24,"Traverse City, MI",Regal 24 FasDeck
1736,yes,yes,54900,2016,Bowrider,Fiberglass,"Hideaway Yacht Sales
   ",24,"Harrison township, MI",Rinker 246 BR
1737,yes,yes,39000,2011,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Copiague, NY",Rinker 246 Captiva
1738,yes,yes,22900,2002,Bowrider,Fiberglass,"Coral Bay Marina Yacht Sales & Service
   ",24,"Morehead City, NC",Rinker 243 Siesta
1739,yes,yes,19900,2005,Bowrider,Fiberglass,"Sandy Hook Yacht Sales, Inc
   ",24,"Sea Bright, NJ",Rinker 246 Captiva Bowrider
1740,yes,yes,20900,2007,Bowrider,Fiberglass,"Class Sea Yachts, Inc.
   ",24,"Cape Coral, FL",Rinker 246 BR
1741,yes,yes,94470,2016,Bowrider,Fiberglass,"Great Bay Marine- Islip Terrace
   ",24,"NY, United States",Robalo R247 Dual Console
1742,yes,yes,36900,2007,Bowrider,Fiberglass,"B & E Marine, Inc.
   ",24,"Michigan City, IN",Rinker 246 BR
1743,yes,yes,95612,2016,Bowrider,Fiberglass,"Jackson Marine Sales
   ",24,"North East, MD",Robalo R247 Dual Console
1744,yes,yes,98369,2017,Bowrider,Fiberglass,"Great Bay Marine- Islip Terrace
   ",24,"Islip Terrace, NY",Robalo R247 Dual Console
1745,yes,yes,39999,2012,Bowrider,Fiberglass,"Bob Hodge Marine Group
   ",24,"St. Petersburg, FL",Rinker 246 BOWRIDER
1746,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"The Nautic Group
   ",24,"Kemah, TX",Robalo R247 Dual Console
1747,yes,yes,87390,2016,Bowrider,Fiberglass,"Sunrise Marine - Boat Sales, Service & Parts
   ",24,"Mary Esther, FL",Robalo 247 Dual Console
1748,yes,yes,83497,2016,Bowrider,Fiberglass,"Sunrise Marine - Boat Sales, Service & Parts
   ",24,"Fort Walton Beach, FL",Robalo 242 Center Console
1749,yes,yes,29900,2006,Bowrider,Fiberglass,"Dick Simon Yachts
   ",24,"Dana Point, CA",Rinker Captiva 246 BR
1750,yes,yes,92967,2015,Bowrider,Fiberglass,"Idealboat Sales
   ",24,"Gwynedd, United Kingdom",Robalo R247 Dual Console
1751,yes,yes,13412,1996,Bowrider,Fiberglass,"Penton Hook Marine Sales
   ",24,"Penton Hook, Chertsey, Surrey, United Kingdom",Rinker Flotilla
1752,yes,yes,Call for Price,2016,Bowrider,Composite,"Viage Group
   ",24,"St. Petersburg, FL",Scout Boats 245 Dorado
1753,yes,yes,58900,2009,Bowrider,Fiberglass,"South Shore Marine
   ",24,"Huron, OH",Scout Boats 245 Dorado
1754,yes,yes,99000,2016,Bowrider,Fiberglass,"The Nautic Group
   ",24,"Kemah, TX",Robalo R247 Dual Console
1755,yes,yes,89500,2014,Bowrider,Composite,"Beacon Point Marine
   ",24,"Cos Cob , CT",Scout Boats 245 Dorado
1756,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Sun Sport Marine
   ",24,"Harrison Township, MI",Robalo R247 Dual Console
1757,yes,yes,69900,2012,Bowrider,Fiberglass,"Sovereign Marine Group
   ",24,"FL, United States",Robalo R247 Dual Console
1758,yes,yes,74900,2014,Bowrider,Fiberglass,"Waterfront Marine Yacht Sales-New Jersey
   ",24,"Somers Point, NJ",Robalo R247 Dual Console
1759,yes,yes,79900,2013,Bowrider,Fiberglass,"PIER ONE YACHT SALES
   ",24,"Punta Gorda, FL",Robalo R247 Dual Console
1760,yes,yes,76900,2013,Bowrider,Fiberglass,"South Shore Marine
   ",24,"Huron, OH",Scout Boats 245 Dorado
1761,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Wye River Marine
   ",24,"Kent Island, MD",Sea Hunt 24 Edge
1762,yes,yes,65795,2014,Bowrider,Fiberglass,"Suncoast Power Boats & Yacht Brokerage
   ",24,"Alva , FL",Sea Ray 240  Sundeck OB
1763,yes,yes,17800,1998,Bowrider,Fiberglass,"SBM Yacht Sales
   ",24,"Sarasota, FL",Sea Ray 240  Sundeck
1764,yes,yes,29900,2006,Bowrider,Fiberglass,"Bay Way Marine, Inc.
   ",24,"Saint Petersburg, FL",Sea Ray 240  Sundeck
1765,yes,yes,17500,2001,Bowrider,Fiberglass,"Beacon Point Marine
   ",24,"Greenwich, CT",Sea Ray 2001 24 Sundeck
1766,yes,yes,48900,2012,Bowrider,Fiberglass,"Bob Hodge Marine Group
   ",24,"St. Petersburg, FL",Sea Ray 240  Sundeck
1767,yes,yes,39900,2005,Bowrider,Fiberglass,"Great Southern Yacht Company
   ",24,"Destin, FL",Sea Ray 220 Sundeck
1768,yes,yes,14995,1995,Bowrider,Fiberglass,"Legendary Marine
   ",24,"Fort Walton Beach, FL",Sea Ray 240 Overnighter
1769,yes,yes,48700,2012,Bowrider,Fiberglass,"Longshore Boats
   ",24,"Charleston, SC",Sea Ray 240  Sundeck
1770,yes,yes,34000,2008,Bowrider,Fiberglass,"All Captains Yacht Sales
   ",24,"St Petersburg, FL",Sea Ray 24 sundeck
1771,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Rogers, MN",Sea Ray 240 Sundeck
1772,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Lewisville, TX",Sea Ray 240 Sundeck
1773,yes,yes,34900,2008,Bowrider,Fiberglass,"Middle Sound Boatworks
   ",24,"Wilmington, NC",Sea Ray 24 Sundeck 115 Hours
1774,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Lake Hopatcong, NJ",Sea Ray 240 Sundeck
1775,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Lewisville, TX",Sea Ray 240 Sundeck
1776,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"B & E Marine, Inc.
   ",24,"Michigan City, IN",Sea Ray 240 Sundeck
1777,yes,yes,Call for Price,2015,Bowrider,Fiberglass,"Captain's Choice of Pickwick
   ",24,"Pickwick Lake, TN, MS",Sea Ray 240 Sundeck
1778,yes,yes,25999,2005,Bowrider,Fiberglass,"Gulf Coast Yacht Group
   ",24,"Harrison , TN",Sea Ray 240 Select
1779,yes,yes,Call for Price,2015,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Lindenhurst, NY",Sea Ray 240 Sundeck
1780,yes,yes,59900,2014,Bowrider,Fiberglass,"InterMarine
   ",24,"Riviera Beach, FL",Sea Ray 240 Sundeck
1781,yes,yes,59000,2014,Bowrider,Fiberglass,,24,"Copiague, NY",Sea Ray 240 Sundeck
1782,yes,yes,57900,2014,Bowrider,Fiberglass,"Temptation Yacht Sales, Inc
   ",24,"St. Clair Shores, MI",Sea Ray 240 Sundeck
1783,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Clarks Landing Marina-Point Pleasant Beach, NJ
   ",24,"Shady Side, MD",Sea Ray 240 Sundeck
1784,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Buford, GA",Sea Ray 240 Sundeck
1785,yes,yes,59900,2015,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Miami, FL",Sea Ray 240 Sundeck
1786,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Port Clinton, OH",Sea Ray 240 Sundeck
1787,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Orlando, FL",Sea Ray 240 Sundeck
1788,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Miami, FL",Sea Ray 240 Sundeck
1789,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Lake Ozark, MO",Sea Ray 240 Sundeck
1790,yes,yes,56000,2013,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Miami, FL",Sea Ray 240 Sundeck
1791,yes,yes,39900,2012,Bowrider,Fiberglass,"Berry-Boger Yacht Sales, Inc.
   ",24,"Charleston, SC",Sea Ray 240 Sundeck
1792,yes,yes,39950,2011,Bowrider,Fiberglass,"Waylen Bay Yacht Sales
   ",24,"Tampa, FL",Sea Ray 240 Sundeck
1793,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Pompano Beach, FL",Sea Ray 240 Sundeck
1794,yes,yes,44017,2008,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Rogers, MN",Sea Ray 240 Sundeck
1795,yes,yes,42900,2013,Bowrider,Fiberglass,"Bob Hodge Marine Group
   ",24,"St. Petersburg, FL",Sea Ray 240 Sundeck
1796,yes,yes,44995,2013,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Wrightsville Beach, NC",Sea Ray 240 Sundeck
1797,yes,yes,46649,2011,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Danvers, MA",Sea Ray 240 Sundeck
1798,yes,yes,44795,2012,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Copiague, NY",Sea Ray 240 Sundeck
1799,yes,yes,49999,2013,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Warwick, RI",Sea Ray 240 Sundeck
1800,yes,yes,31500,2006,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Lake Ozark, MO",Sea Ray 240 Sundeck
1801,yes,yes,44900,2006,Bowrider,Fiberglass,"Pier 53 Marine
   ",24,"Port Clinton, OH",Sea Ray 240 Sundeck
1802,yes,yes,31000,2008,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Venice, FL",Sea Ray 240 Sundeck
1803,yes,yes,30500,2008,Bowrider,Fiberglass,"Brewer Yacht Sales
   ",24,"Westbrook, CT",Sea Ray 240 Sundeck
1804,yes,yes,29900,2007,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Seabrook, TX",Sea Ray 240 Sundeck
1805,yes,yes,34900,2007,Bowrider,Fiberglass,"Legendary Marine
   ",24,"Fort Walton Beach, FL",Sea Ray 240 Sundeck
1806,yes,yes,37995,2004,Bowrider,Fiberglass,"Fox Chapel Marine
   ",24,United States,Sea Ray 240 Sundeck
1807,yes,yes,37900,2007,Bowrider,Fiberglass,"Sea Ray of Cincinnati
   ",24,"Cincinnati, United States",Sea Ray 240 Sundeck
1808,yes,yes,37900,2008,Bowrider,Fiberglass,"Knot 10 Yacht Sales
   ",24,"Kent Island, MD",Sea Ray 240 Sundeck
1809,yes,yes,33750,2007,Bowrider,Fiberglass,"SYS Yacht Sales
   ",24,"SARASOTA, FL",Sea Ray 240 Sundeck
1810,yes,yes,29900,2004,Bowrider,Fiberglass,"Boat Brokers LKN
   ",24,"Cornelius, NC",Sea Ray 240 Sundeck
1811,yes,yes,22995,2005,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Palm Beach Gardens, FL",Sea Ray 240 Sundeck
1812,yes,yes,24900,2007,Bowrider,Fiberglass,"Bob Hodge Marine Group
   ",24,"Fort Pierce, FL",Sea Ray 240 Sundeck
1813,yes,yes,36700,2008,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Osage Beach, MO",Sea Ray 240 Sundeck
1814,yes,yes,26500,2005,Bowrider,Fiberglass,"Empire Point Boating Center
   ",24,"island park, NY",Sea Ray 240 Sundeck
1815,yes,yes,25900,2006,Bowrider,Fiberglass,"COMPLETE MARINE
   ",24,"Pompano Beach, FL",Sea Ray 240 Sundeck
1816,yes,yes,28875,2007,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Somers Point, NJ",Sea Ray 240 Sundeck
1817,yes,yes,23500,2001,Bowrider,Fiberglass,"Captain's Choice of Pickwick
   ",24,"Pickwick Lake TN, MS",Sea Ray 240 Sundeck
1818,yes,yes,22995,2003,Bowrider,Fiberglass,"Modern Yachts
   ",24,"NY, United States",Sea Ray 240 Sundeck
1819,yes,yes,17500,2001,Bowrider,Fiberglass,"Intracoastal Yacht Sales
   ",24,"Ocean Isle Beach, NC",Sea Ray 240 Sundeck
1820,yes,yes,19900,2000,Bowrider,Fiberglass,"Diamond Yacht and Ship
   ",24,"Venice, FL",Sea Ray 240 Sundeck
1821,yes,yes,26500,2005,Bowrider,Fiberglass,"Coastline Yacht Sales
   ",24,"Baltimore, MD",Sea Ray 240 Sundeck
1822,yes,yes,27490,2007,Bowrider,Fiberglass,"West Yachts and Brokerage
   ",24,"conroe, TX",Sea Ray 240 Sundeck
1823,yes,yes,19000,2002,Bowrider,Fiberglass,"Port Milford
   ",24,"Milford, CT",Sea Ray 240 Sundeck
1824,yes,yes,15900,2001,Bowrider,Fiberglass,"Hall Marine Group
   ",24,United States,Sea Ray 240 Sundeck
1825,yes,yes,16500,2000,Bowrider,Fiberglass,"Admiral Yacht Sales
   ",24,"JACKSONVILLE, FL",Sea Ray 240 Sundeck
1826,yes,yes,16995,1997,Bowrider,Fiberglass,"Ludington Yacht Sales
   ",24,"Spring Lake, United States",Sea Ray 240 Sundeck
1827,yes,yes,15064,2002,Bowrider,Fiberglass,"Marina Fortin
   ",24,"ST-PAUL-ILE-AUX-NOIX, QC",Sea Ray 240 Sundeck
1828,yes,yes,9900,1999,Bowrider,Fiberglass,"Boat America
   ",24,"Madeira Beach, FL",Sea Ray 240 Sundeck
1829,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Norwalk, CT",Sea Ray 240 Sundeck Outboard
1830,yes,yes,,2015,Bowrider,Fiberglass,"Fox Chapel Marine
   ",24,"Pittsburgh, PA",Sea Ray 240 Sundeck
1831,yes,yes,62900,2014,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Brick, NJ",Sea Ray 240 Sundeck OB
1832,yes,yes,,2015,Bowrider,Fiberglass,"Fox Chapel Marine
   ",24,"Pittsburgh, PA",Sea Ray 240 Sundeck
1833,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Sea Ray of Cincinnati
   ",24,"Louisville, KY",Sea Ray 240 Sundeck
1834,yes,yes,19900,2002,Bowrider,Fiberglass,"McCall Marine Sales - Licensed Yacht Broker
   ",24,"Englewood, FL",Sea Ray 240 Sundeck
1835,yes,yes,22900,2004,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Somers Point, NJ",Sea Ray 240 Sundeck
1836,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Clarks Landing Marina-Point Pleasant Beach, NJ
   ",24,"Chester, MD",Sea Ray 240 Sundeck Outboard
1837,yes,yes,62000,2014,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Palm Beach Gardens, FL",Sea Ray 240 Sundeck OB
1838,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Brick, NJ",Sea Ray 240 Sundeck Outboard
1839,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Hingham, MA",Sea Ray 240 Sundeck Outboard
1840,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Nunmaker Yachts
   ",24,"Madisoville, LA",Sea Ray 240 Sundeck
1841,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Irish Boat Shop
   ",24,"MI, United States",Sea Ray 240 Sundeck
1842,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Lindenhurst, NY",Sea Ray 240 Sundeck Outboard
1843,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Danvers, MA",Sea Ray 240 Sundeck Outboard
1844,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Warwick, RI",Sea Ray 240 Sundeck Outboard
1845,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Ship Bottom, NJ",Sea Ray 240 Sundeck Outboard
1846,yes,yes,35000,2005,Bowrider,Fiberglass,"Exclusive Yacht Group
   ",26,"St. Pete, FL",Sea Ray 240 Sundeck
1847,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Panama City Beach, FL",Sea Ray 240 Sundeck Outboard
1848,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Lindenhurst, NY",Sea Ray 240 Sundeck Outboard
1849,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Naples, FL",Sea Ray 240 Sundeck Outboard
1850,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Montgomery, TX",Sea Ray SDX 240
1851,yes,yes,Call for Price,2015,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Lindenhurst, NY",Sea Ray 240 Sundeck Outboard
1852,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Brick, NJ",Sea Ray SDX 240
1853,yes,yes,,2016,Bowrider,Fiberglass,"Hall Marine Group
   ",24,United States,Sea Ray 240 Sundeck Outboard
1854,yes,yes,,2017,Bowrider,Fiberglass,"Hall Marine Group
   ",24,United States,Sea Ray 240 Sundeck Outboard
1855,yes,yes,1,2016,Bowrider,Fiberglass,"Hyannis Marina
   ",24,"Hyannis, MA",Sea Ray 240 Sundeck Outboard
1856,yes,yes,19500,2001,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"St Petersburg, FL",Sea Ray 245 Weekender
1857,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Ft. Myers, FL",Sea Ray 240 Sundeck Outboard
1858,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Somers Point, NJ",Sea Ray SDX 240 OB
1859,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Orlando, FL",Sea Ray SDX 240
1860,yes,yes,,2016,Bowrider,Fiberglass,"Hall Marine Group
   ",24,United States,Sea Ray 240 Sundeck Outboard
1861,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Lindenhurst, NY",Sea Ray SDX 240
1862,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Norwalk, CT",Sea Ray SDX 240
1863,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Cumming, GA",Sea Ray SDX 240
1864,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Ship Bottom, NJ",Sea Ray SDX 240
1865,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Venice, FL",Sea Ray SDX 240
1866,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Miami, FL",Sea Ray SDX 240
1867,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Orlando, FL",Sea Ray SDX 240
1868,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Lake Ozark, MO",Sea Ray SDX 240
1869,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Lake Hopatcong, NJ",Sea Ray SDX 240
1870,yes,yes,16583,2000,Bowrider,Fiberglass,"Navicularia Yacht Brokers
   ",24,"Costa Blanca, Spain",Sea Ray 240 Sundeck
1871,yes,yes,64900,2016,Bowrider,Fiberglass,"Long Island Marine Group
   ",24,"Long Island , NY",Sea Ray SunDeck
1872,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Panama City Beach, FL",Sea Ray SDX 240 OB
1873,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Huntington, NY",Sea Ray SDX 240 OB
1874,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Sarasota, FL",Sea Ray SDX 240 OB
1875,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Clearwater, FL",Sea Ray SDX 240 OB
1876,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Miami, FL",Sea Ray SDX 240 OB
1877,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Ft. Myers, FL",Sea Ray SDX 240 OB
1878,yes,yes,34900,2008,Bowrider,Fiberglass,"Long Island Marine Group
   ",24,"Long Island, NY",Sea Ray Sun Deck
1879,yes,yes,31000,2006,Bowrider,Fiberglass,"Denison Yacht Sales
   ",24,"Stuart, FL",Sea Ray SunDeck
1880,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Cocoa, FL",Sea Ray SDX 240 OB
1881,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Montgomery, TX",Sea Ray 240 Sundeck
1882,yes,yes,19900,2003,Bowrider,Fiberglass,"Fillingham Yacht Sales
   ",24,"Clearwater Beach, FL",Splendor 240 Platinum
1883,yes,yes,46500,2014,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Venice, FL",SouthWind 2400 SPORTDECK
1884,yes,yes,48805,2016,Bowrider,Fiberglass,"Green Cove Marina
   ",24,"Brick, NJ",SouthWind 2400 SD
1885,yes,yes,22900,2005,Bowrider,Fiberglass,"Cahoon Yacht Brokerage
   ",24,"Cape Cod, MA",Seaswirl 2301 DC
1886,yes,yes,19900,1996,Bowrider,Fiberglass,"Ross Yacht Sales
   ",24,"PALM HARBOR, FL",Sea Ray SunDeck
1887,yes,yes,17900,1998,Bowrider,Fiberglass,"Seaport Yacht Sales
   ",24,"Toms River, NJ",Sea Ray Sundeck 240
1888,yes,yes,48805,2016,Bowrider,Fiberglass,"Green Cove Marina
   ",24,"Brick, NJ",SouthWind 2400 SD
1889,yes,yes,14000,2000,Bowrider,Fiberglass,"Tom George Yacht Group
   ",24,"Ozona, FL",Sea Ray SunDeck
1890,yes,yes,14995,1999,Bowrider,Fiberglass,"Aquarius Boat Sales
   ",24,"NJ, United States",Sea Ray SunDeck
1891,yes,yes,40000,2008,Bowrider,Fiberglass,"Little Yacht Sales
   ",24,"Kemah, TX",Sea Ray Sundeck 240
1892,yes,yes,43900,2000,Bowrider,Fiberglass,"Robert Christopher Yacht Sales
   ",24,"Niantic, CT",Sportcraft 241
1893,yes,yes,47900,2015,Bowrider,Fiberglass,"Strong's Marine
   ",24,"Mattituck, NY",Yamaha 242 Limited
1894,yes,yes,8950,1997,Bowrider,Fiberglass,"Boat America
   ",24,"Clearwater, FL",Wellcraft 2400 Eclipse
1895,yes,yes,18900,1998,Bowrider,Fiberglass,"Easy Sale
   ",24,"Fort Lauderdale, FL",Wellcraft 2400 Eclipse
1896,yes,yes,56999,2016,Bowrider,Fiberglass,"Twin City Marine, Inc.
   ",24,"Central Falls, RI",Yamaha 242 Limited
1897,yes,yes,19782,2005,Bowrider,Fiberglass,"MarineMax Inc.
   ",24,"Montgomery, TX",VIP BOATS 242 DECKLINER
1898,yes,yes,16995,1998,Bowrider,Fiberglass,"Dave D'Onofrio Yacht Sales, LLC.
   ",24,"Naples, FL",VIP Vindicator 2440 Bowrider
